start,end,type,night
1646758290.0,1646759000.0,wake,2022-03-08
1646759330.0,1646762600.0,wake,2022-03-08
1646762920.0,1646765800.0,wake,2022-03-08
1646708420.0,1646709280.0,motion,2022-03-08
1646710320.0,1646712310.0,motion,2022-03-08
1646714180.0,1646715350.0,motion,2022-03-08
1646716100.0,1646716120.0,motion,2022-03-08
1646716620.0,1646717060.0,motion,2022-03-08
1646717420.0,1646719330.0,motion,2022-03-08
1646719650.0,1646720190.0,motion,2022-03-08
1646730330.0,1646730420.0,motion,2022-03-08
1646744420.0,1646744450.0,motion,2022-03-08
1646745840.0,1646745850.0,motion,2022-03-08
1646748020.0,1646749830.0,motion,2022-03-08
1646751460.0,1646756310.0,motion,2022-03-08
1646756620.0,1646757030.0,motion,2022-03-08
1646757430.0,1646757800.0,motion,2022-03-08
1646758240.0,1646758990.0,motion,2022-03-08
1646759300.0,1646765840.0,motion,2022-03-08
1646795700.0,1646795990.0,wake,2022-03-09
1646798220.0,1646798540.0,wake,2022-03-09
1646799160.0,1646799260.0,wake,2022-03-09
1646799710.0,1646799760.0,wake,2022-03-09
1646803020.0,1646803180.0,wake,2022-03-09
1646803670.0,1646803680.0,wake,2022-03-09
1646806130.0,1646808230.0,wake,2022-03-09
1646832630.0,1646832700.0,wake,2022-03-09
1646833810.0,1646835040.0,wake,2022-03-09
1646839250.0,1646839560.0,wake,2022-03-09
1646842780.0,1646843020.0,wake,2022-03-09
1646843710.0,1646844310.0,wake,2022-03-09
1646846600.0,1646848360.0,wake,2022-03-09
1646849510.0,1646850180.0,wake,2022-03-09
1646850590.0,1646851100.0,wake,2022-03-09
1646851740.0,1646851810.0,wake,2022-03-09
1646795160.0,1646796630.0,motion,2022-03-09
1646797080.0,1646797110.0,motion,2022-03-09
1646797500.0,1646797570.0,motion,2022-03-09
1646798180.0,1646798650.0,motion,2022-03-09
1646798970.0,1646799320.0,motion,2022-03-09
1646799640.0,1646802060.0,motion,2022-03-09
1646802970.0,1646808190.0,motion,2022-03-09
1646817470.0,1646817490.0,motion,2022-03-09
1646823560.0,1646823580.0,motion,2022-03-09
1646824290.0,1646824310.0,motion,2022-03-09
1646825710.0,1646825750.0,motion,2022-03-09
1646832610.0,1646832660.0,motion,2022-03-09
1646833510.0,1646835400.0,motion,2022-03-09
1646837710.0,1646837830.0,motion,2022-03-09
1646838300.0,1646838320.0,motion,2022-03-09
1646839190.0,1646839890.0,motion,2022-03-09
1646842530.0,1646843000.0,motion,2022-03-09
1646843440.0,1646844590.0,motion,2022-03-09
1646845680.0,1646845690.0,motion,2022-03-09
1646846130.0,1646846140.0,motion,2022-03-09
1646846560.0,1646848350.0,motion,2022-03-09
1646848720.0,1646849000.0,motion,2022-03-09
1646849360.0,1646850150.0,motion,2022-03-09
1646850550.0,1646851070.0,motion,2022-03-09
1646851560.0,1646852150.0,motion,2022-03-09
1647311730.0,1647311960.0,wake,2022-03-15
1647314240.0,1647314280.0,wake,2022-03-15
1647319720.0,1647319820.0,wake,2022-03-15
1647366910.0,1647367020.0,wake,2022-03-15
1647310470.0,1647310490.0,motion,2022-03-15
1647311670.0,1647312060.0,motion,2022-03-15
1647312780.0,1647312800.0,motion,2022-03-15
1647313710.0,1647313740.0,motion,2022-03-15
1647314170.0,1647314530.0,motion,2022-03-15
1647314960.0,1647315120.0,motion,2022-03-15
1647317910.0,1647317930.0,motion,2022-03-15
1647318610.0,1647318620.0,motion,2022-03-15
1647319540.0,1647319820.0,motion,2022-03-15
1647366900.0,1647367030.0,motion,2022-03-15
1647223570.0,1647223590.0,wake,2022-03-14
1647224280.0,1647228340.0,wake,2022-03-14
1647229540.0,1647229670.0,wake,2022-03-14
1647230500.0,1647230870.0,wake,2022-03-14
1647231200.0,1647231270.0,wake,2022-03-14
1647231680.0,1647232190.0,wake,2022-03-14
1647232790.0,1647232810.0,wake,2022-03-14
1647235600.0,1647236190.0,wake,2022-03-14
1647259470.0,1647259550.0,wake,2022-03-14
1647263780.0,1647263880.0,wake,2022-03-14
1647270210.0,1647270280.0,wake,2022-03-14
1647270810.0,1647270830.0,wake,2022-03-14
1647272790.0,1647272880.0,wake,2022-03-14
1647273190.0,1647274060.0,wake,2022-03-14
1647274430.0,1647274490.0,wake,2022-03-14
1647274910.0,1647275020.0,wake,2022-03-14
1647280610.0,1647280660.0,wake,2022-03-14
1647223500.0,1647223590.0,motion,2022-03-14
1647224240.0,1647228300.0,motion,2022-03-14
1647229030.0,1647229040.0,motion,2022-03-14
1647229480.0,1647229820.0,motion,2022-03-14
1647230360.0,1647232970.0,motion,2022-03-14
1647233380.0,1647233400.0,motion,2022-03-14
1647234160.0,1647234170.0,motion,2022-03-14
1647235570.0,1647236140.0,motion,2022-03-14
1647257450.0,1647257470.0,motion,2022-03-14
1647259440.0,1647259510.0,motion,2022-03-14
1647263700.0,1647263850.0,motion,2022-03-14
1647268390.0,1647268420.0,motion,2022-03-14
1647270180.0,1647270830.0,motion,2022-03-14
1647271990.0,1647272020.0,motion,2022-03-14
1647272750.0,1647274040.0,motion,2022-03-14
1647274380.0,1647274470.0,motion,2022-03-14
1647274840.0,1647275000.0,motion,2022-03-14
1647276150.0,1647276300.0,motion,2022-03-14
1647276630.0,1647276650.0,motion,2022-03-14
1647277260.0,1647277570.0,motion,2022-03-14
1647278110.0,1647278190.0,motion,2022-03-14
1647279030.0,1647279230.0,motion,2022-03-14
1647280570.0,1647280630.0,motion,2022-03-14
1646881560.0,1646883260.0,wake,2022-03-10
1646883740.0,1646887100.0,wake,2022-03-10
1646887810.0,1646889400.0,wake,2022-03-10
1646924870.0,1646925450.0,wake,2022-03-10
1646927660.0,1646927820.0,wake,2022-03-10
1646929350.0,1646931230.0,wake,2022-03-10
1646932300.0,1646932430.0,wake,2022-03-10
1646933440.0,1646933460.0,wake,2022-03-10
1646933980.0,1646934050.0,wake,2022-03-10
1646934590.0,1646935340.0,wake,2022-03-10
1646936920.0,1646936930.0,wake,2022-03-10
1646881490.0,1646883210.0,motion,2022-03-10
1646883570.0,1646887180.0,motion,2022-03-10
1646887770.0,1646889750.0,motion,2022-03-10
1646895240.0,1646895250.0,motion,2022-03-10
1646897870.0,1646898090.0,motion,2022-03-10
1646905310.0,1646905320.0,motion,2022-03-10
1646905950.0,1646905970.0,motion,2022-03-10
